"","lagoslakeid","nhdid","gnis_name","nhd_lat","nhd_long","lake_area_ha","lake_perim_meters","nhd_fcode","nhd_ftype","iws_zoneid","hu4_zoneid","hu6_zoneid","hu8_zoneid","hu12_zoneid","edu_zoneid","county_zoneid","state_zoneid"
"73335",73448,"88307200","Blue Lake",42.033014,-96.159278,129.5630898,11881.6585,39004,390,"IWS_6790","HU4_61","HU6_87","HU8_474","HU12_2664","EDU_4","County_262","State_13"
"74194",74307,"152817565","Sunrise Lake",41.279853,-91.762098,3.944909638,1076.8878,39004,390,NA,"HU4_57","HU6_82","HU8_396","HU12_2738","EDU_61","County_301","State_13"
"75250",75363,"130643405","Pilot Knob Lake",43.251719,-93.561314,6.473992897,1888.8846,39004,390,"IWS_31947","HU4_57","HU6_78","HU8_356","HU12_9630","EDU_23","County_248","State_13"
"76522",76635,"147258740","Upper City Reservoir",40.707675,-92.893538,44.67130601,7845.2345,39004,390,"IWS_7248","HU4_62","HU6_84","HU8_425","HU12_2932","EDU_20","County_212","State_13"
"77321",77434,"155495214","Snider Lake",42.182178,-90.302443,3.893123476,1476.7442,39009,390,NA,"HU4_59","HU6_81","HU8_388","HU12_5220","EDU_65","County_282","State_13"
"78384",78497,"155495401","Lower Y Lake",42.114132,-90.173045,3.8008494,888.0001,39009,390,NA,"HU4_59","HU6_81","HU8_388","HU12_5220","EDU_65","County_282","State_13"
"79485",79598,"154317579","Lily Pond",41.472639,-91.652272,1.67023446,659.1093,39004,390,NA,"HU4_57","HU6_78","HU8_402","HU12_3090","EDU_23","County_301","State_13"
"79501",79614,"133403646","Crab Tree Lake",41.866015,-93.212533,17.26894819,2003.6963,39004,390,"IWS_3100","HU4_57","HU6_82","HU8_394","HU12_3378","EDU_61","County_260","State_13"
"80491",80604,"122940667","Founders Pond",43.084485,-91.19537,11.86405564,1450.4732,39009,390,"IWS_30437","HU4_59","HU6_81","HU8_371","HU12_9712","EDU_13","County_211","State_13"
"80510",80623,"155069399","Robbins Lake",42.00643,-91.701053,6.509997885,2542.6735,39009,390,"IWS_2983","HU4_57","HU6_78","HU8_398","HU12_2958","EDU_23","County_288","State_13"
"80541",80654,"133551579","Lake Ellis",41.008161,-93.263321,31.10548355,4228.7575,39004,390,"IWS_3346","HU4_56","HU6_79","HU8_405","HU12_3409","EDU_61","County_251","State_13"
"80747",80860,"70916282","Home Pond",40.625678,-93.952014,1.022277228,428.7422,39004,390,NA,"HU4_62","HU6_85","HU8_485","HU12_18773","EDU_20","County_219","State_13"
"81571",81684,"155845517","Mormon Lake",42.131207,-93.055574,1.101604276,716.2618,39004,390,NA,"HU4_57","HU6_78","HU8_400","HU12_3011","EDU_23","County_260","State_13"
"81775",81888,"154654131","Larson Lake",42.728677,-95.388667,1.80720572,647.5953,39004,390,NA,"HU4_61","HU6_87","HU8_420","HU12_18819","EDU_4","County_239","State_13"
"81780",81893,"88306000","Browers Lake",42.373199,-96.349061,4.037112298,1217.9487,39004,390,"IWS_6754","HU4_61","HU6_87","HU8_474","HU12_2662","EDU_4","County_207","State_13"
"82553",82666,"155495247","Little Sawmill Lake",42.172911,-90.282845,2.670743149,1175.1938,39009,390,NA,"HU4_59","HU6_81","HU8_388","HU12_5220","EDU_65","County_282","State_13"
"82599",82712,"152754100","Lake Considine",42.716654,-92.919924,5.105985147,1773.3695,39004,390,"IWS_31933","HU4_57","HU6_78","HU8_397","HU12_18878","EDU_23","County_234","State_13"
"82608",82721,"146616152","Maxon Reservoir",41.033417,-92.782441,4.855212055,1326.2215,39004,390,"IWS_3365","HU4_56","HU6_79","HU8_406","HU12_3456","EDU_61","County_263","State_13"
"82610",82723,"120826382","High Lake",43.305557,-94.714035,224.3714925,10918.0646,39004,390,"IWS_32384","HU4_56","HU6_79","HU8_416","HU12_9769","EDU_74","County_223","State_13"
"82824",82937,"129558207","Liebold Lake",40.698756,-95.82065,1.889256478,771.4191,39004,390,NA,"HU4_63","HU6_86","HU8_478","HU12_2675","EDU_54","County_226","State_13"
"83693",83807,"133403317","Arnold Lake",42.060529,-93.602929,1.711768586,955.8798,39004,390,NA,"HU4_57","HU6_82","HU8_394","HU12_3370","EDU_61","County_295","State_13"
"84717",84831,"130643632","Lake Cona Toma",43.154625,-93.228014,6.386659506,1082.2575,39004,390,"IWS_31871","HU4_57","HU6_78","HU8_356","HU12_9634","EDU_23","County_244","State_13"
"84723",84837,"132563144","Cone Lake",41.385722,-91.321886,21.63476799,15819.5227,39004,390,"IWS_2979","HU4_57","HU6_78","HU8_399","HU12_2987","EDU_23","County_265","State_13"
"84898",85012,"132542956","Sunken Lake",43.480302,-95.12833,5.287000143,852.8175,39004,390,"IWS_37692","HU4_61","HU6_87","HU8_419","HU12_9321","EDU_4","County_221","State_13"
"85716",85830,"155495179","Flat Lake",42.190882,-90.34602,46.2771571,8468.0388,39009,390,"IWS_2876","HU4_59","HU6_81","HU8_388","HU12_5219","EDU_65","County_282","State_13"
"85764",85878,"120825760","Cheever Lake",43.372961,-94.883907,45.58103608,4200.1484,39004,390,"IWS_32416","HU4_56","HU6_79","HU8_416","HU12_19546","EDU_74","County_223","State_13"
"86795",86909,"145756280","Nancy Elaine Lake",41.784107,-90.286432,8.700063584,1867.525,39004,390,"IWS_2994","HU4_57","HU6_82","HU8_390","HU12_5834","EDU_57","County_245","State_13"
"87882",87996,"137044220","South Twin Lake",42.460488,-94.651013,188.2095983,6581.8111,39004,390,"IWS_32256","HU4_56","HU6_79","HU8_417","HU12_3172","EDU_74","County_235","State_13"
"88064",88178,"132545695","Elk Lake",43.082428,-94.923313,103.798805,4774.2134,39004,390,"IWS_37669","HU4_61","HU6_87","HU8_419","HU12_19551","EDU_4","County_214","State_13"
"88924",89038,"152594660","Green Bayou",40.655803,-91.208997,41.54571531,13281.0654,39004,390,"IWS_3090","HU4_57","HU6_82","HU8_410","HU12_2936","EDU_61","County_250","State_13"
"88927",89041,"154320361","Sunfish Lake",41.107554,-91.084872,37.88499538,14354.284,39009,390,"IWS_2937","HU4_57","HU6_78","HU8_402","HU12_3113","EDU_23","County_289","State_13"
"88952",89066,"120826120","North Slough",43.332916,-94.695431,21.749547,3420.4264,39004,390,"IWS_32253","HU4_56","HU6_79","HU8_416","HU12_9769","EDU_74","County_223","State_13"
"89149",89263,"132542863","Grovers Lake",43.500441,-95.155609,103.0384776,5059.163,39004,390,"IWS_37769","HU4_61","HU6_87","HU8_419","HU12_9321","EDU_4","County_221","State_13"
"90931",91045,"155495290","Densmore Lake",42.163365,-90.284514,24.20063203,6007.8427,39009,390,"IWS_2870","HU4_59","HU6_81","HU8_388","HU12_5220","EDU_65","County_282","State_13"
"90950",91064,"155098025","South Amana Pond",41.768751,-91.983684,4.10266623,1727.1471,39004,390,"IWS_2939","HU4_57","HU6_78","HU8_401","HU12_3054","EDU_23","County_281","State_13"
"90954",91068,"155067492","Fisher Lake",42.53505,-92.412138,11.5967679,5814.3039,39004,390,"IWS_31857","HU4_57","HU6_78","HU8_398","HU12_2813","EDU_23","County_230","State_13"
"90962",91076,"152819470","Reservoir Number One",41.021309,-91.954805,9.963513125,1822.1938,39004,390,"IWS_3044","HU4_57","HU6_82","HU8_396","HU12_2765","EDU_61","County_283","State_13"
"90984",91098,"155016997","Lake Panorama",41.73333,-94.431104,476.9721437,75921.305,39004,390,"IWS_3413","HU4_56","HU6_79","HU8_418","HU12_3227","EDU_74","County_273","State_13"
"91960",92074,"122936453","Duck Lake",43.478269,-91.253322,45.82747638,5750.8617,39004,390,"IWS_30421","HU4_59","HU6_81","HU8_371","HU12_9883","EDU_13","County_211","State_13"
"91978",92092,"152819332","Reservoir Number Two",41.028529,-91.948637,19.62593294,4062.6972,39004,390,"IWS_3165","HU4_57","HU6_82","HU8_396","HU12_2765","EDU_61","County_283","State_13"
"92945",93059,"118875589","Darling Pool",43.269302,-94.118128,33.91311703,5599.5481,39004,390,"IWS_24870","HU4_53","HU6_75","HU8_351","HU12_9698","EDU_41","County_287","State_13"
"93051",93165,"132562341","Cedar Lakes",41.725102,-91.047853,1.087161977,483.2185,39004,390,NA,"HU4_57","HU6_78","HU8_399","HU12_2974","EDU_23","County_238","State_13"
"93065",93179,"155844673","East Twin Lake",42.936311,-93.709819,89.88978047,5309.4551,39009,390,"IWS_31909","HU4_57","HU6_78","HU8_400","HU12_9758","EDU_23","County_248","State_13"
"93067",93181,"155097885","Matson Pond",41.784782,-91.778814,5.176617888,1430.572,39009,390,"IWS_3118","HU4_57","HU6_78","HU8_401","HU12_3056","EDU_23","County_284","State_13"
"94067",94181,"155845482","Dakins Lake",42.171307,-93.294526,1.97777084,868.029,39004,390,NA,"HU4_57","HU6_78","HU8_400","HU12_3004","EDU_23","County_295","State_13"
"94068",94182,"154320013","Warnstaff Lake",41.155103,-91.151436,16.78501711,6403.9358,39004,390,"IWS_2950","HU4_57","HU6_78","HU8_402","HU12_3113","EDU_23","County_289","State_13"
